ID,attention,condition,condition_dum,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,EGA_1_1,EGA_2_1,EGA_3_1,EGA_4_1,EGA_5_1,EGA_6_1,EGA_7_1,EGA_8_1,EGA_9_1,EGA_10_1,EGA_11_1,state,city,age,gender,gender_3_TEXT,race,race_16_TEXT,education,comments,PROLIFIC_PID
11,4,Mothers,0,18,17,15,1,8,6,10,7,2,14,13,4,12,5,16,11,9,3,7,1,1,1,1,1,1,7,7,1,1,Utah,Salt Lake City,20,2,,1,,3,,61095301a0d717717f93af56
12,4,Mothers,0,14,13,16,4,9,5,3,1,10,17,8,11,12,2,15,18,7,6,7,1,1,1,1,4,5,7,7,2,1,CA,San Diego,34,2,,3,,3,,61006be07e74dd9f144d12f1
13,1,Fathers,1,3,1,10,11,13,9,12,16,14,4,5,15,6,17,2,7,8,18,7,1,2,2,2,1,2,7,6,5,2,Ohio,Cuyahoga Falls,28,1,,1,,5,,5fce532e51f670000a2a1410
14,2,Fathers,1,2,1,5,17,12,13,14,16,10,4,7,11,6,18,3,8,9,15,6,2,2,5,1,7,5,6,7,6,3,NY,rochester,24,2,,3,,6,,60fda319d6d843f4541fb694
15,2,Mothers,0,17,18,16,7,3,5,4,1,2,14,13,6,15,8,11,12,10,9,7,1,1,1,1,3,3,7,7,4,4,Iowa,Des Moines,40,2,,1,,1,Weirdly felt like it could have been a bit more to it. The study felt a touch shallow.,604575ec416c786b721a4d51
16,4,Fathers,1,6,1,7,13,14,11,15,9,12,2,4,8,3,16,10,5,17,18,7,2,1,1,1,1,1,7,6,4,1,WA,Vancouver,43,2,,1,,5,,58e76dbe3b2e1800012be43a
17,4,Mothers,0,18,16,15,7,8,4,5,2,1,14,13,9,12,6,17,11,10,3,7,4,1,2,1,4,5,6,7,5,5,MA,Fall River,27,2,,1,,6,,610c536acdb91a58a033853d
18,4,Mothers,0,17,12,16,8,7,6,9,2,1,18,14,5,15,3,11,13,10,4,5,1,2,2,2,2,5,6,6,5,4,Illinois,Wheaton,21,1,,2,,3,,5eb5e831b11b101414b3ae6c
19,2,Fathers,1,1,2,4,12,10,15,16,18,14,6,7,11,5,13,3,8,9,17,7,2,1,1,1,4,4,6,6,2,2,Illinois,Chicago ,21,2,,4,,2,,611884342da45986deaa204f
20,4,Fathers,1,2,1,3,7,4,9,16,10,13,6,11,15,8,17,5,12,14,18,6,5,1,2,4,4,6,7,7,6,1,Texas,,22,2,,2,,5,,6102ecf110a0c98876e59608
